"X.1","X","date_time_samp","site","plot_num","treatment","exclosure","paired","longitude","latitude","man_long","man_lat","barcode","siteX","treatmentX","exclosureX","pairedX","plot","cluster","clusterBC","plotBC","factorial","Date","hour","minute","time","season","notes_cluster","number","year","CT1","CT2","CT3","CT4","Ct_detects","positive","cluster_pair","Library_Name","Agaricomycetes","Agaricostilbomycetes","Archaeosporomycetes","Arthoniomycetes","Basidiobolomycetes","Chytridiomycetes","Cystobasidiomycetes","Dothideomycetes","Entorrhizomycetes","Eurotiomycetes","Exobasidiomycetes","Geminibasidiomycetes","Glomeromycetes","GS14","Lecanoromycetes","Leotiomycetes","Lobulomycetes","Microbotryomycetes","Monoblepharidomycetes","Mortierellomycetes","Mucoromycetes","Olpidiomycetes","Orbiliomycetes","Pezizomycetes","Pezizomycotina_cls_Incertae_sedis","Pucciniomycetes","Rhizophlyctidomycetes","Rhizophydiomycetes","Rozellomycotina_cls_Incertae_sedis","Saccharomycetes","Sordariomycetes","Spizellomycetes","Taphrinomycetes","Tremellomycetes","Umbelopsidomycetes","unidentified","Unknown","Ustilaginomycetes","Wallemiomycetes"
14,14,"4/19/21 13:07",1,9,0,0,1,-119.6860301,35.06126718,NA,NA,"AS09SE11","S","S","E",1,"S09","S09SE1","S09SE1","S09","SE","4/19/21 13:07",13,7,13.11666667,"Spring",NA,NA,NA,NA,NA,NA,NA,0,0,"S901","JTMR010AI",1488,0,0,983,0,36,5,21872,0,11654,0,0,396,0,0,2632,0,0,10,2193,28,17,352,4833,0,0,63,6,0,0,13146,100,0,1040,0,25,2598,0,0
16,16,"4/19/21 10:20",1,8,1,1,1,-119.6803251,35.05925036,NA,NA,"AS08PN11","S","P","N",1,"S08","S08PN1","S08PN1","S08","PN","4/19/21 10:20",10,20,10.33333333,"Spring",NA,NA,NA,NA,36.74,37.26,38.38,3,1,"S811","JTMR010DK",2307,0,0,4,0,0,9,27757,22,7614,0,185,22,0,0,8187,8,0,0,905,333,0,49,3458,0,0,51,11,0,0,15082,186,0,811,0,1349,1991,0,0
17,17,"4/19/21 10:42",1,8,0,1,1,-119.6803061,35.0592554,NA,NA,"AS08SN11","S","S","N",1,"S08","S08SN1","S08SN1","S08","SN","4/19/21 10:42",10,42,10.7,"Spring",NA,NA,NA,NA,NA,NA,NA,0,0,"S811","JTMR010AU",578,0,0,116,0,56,0,31230,0,4147,19,80,734,0,0,5094,6,32,0,656,5,52,483,4639,0,0,2270,22,0,0,5751,768,0,1293,0,529,4510,0,0
18,18,"4/19/21 14:38",1,10,1,0,1,-119.6926353,35.0647591,NA,NA,"AS10PE11","S","P","E",1,"S10","S10PE1","S10PE1","S10","PE","4/19/21 14:38",14,38,14.63333333,"Spring",NA,NA,NA,NA,NA,NA,NA,0,0,"S1001","JTMR011ES",7910,0,0,7,0,0,0,21338,0,15492,0,0,106,0,0,1767,0,0,0,0,0,0,87,5443,0,0,0,0,0,0,14055,27,0,432,0,89,1582,0,0
19,19,"4/19/21 15:52",1,7,1,1,1,-119.6555894,35.08361336,NA,NA,"AS07PN11","S","P","N",1,"S07","S07PN1","S07PN1","S07","PN","4/19/21 15:52",15,52,15.86666667,"Spring",NA,NA,NA,NA,NA,NA,NA,0,0,"S711","JTMR010J",12232,0,0,155,0,0,7,42905,0,1606,0,0,9,0,0,4164,0,0,0,617,52,0,48,3237,0,0,556,51,13,4,6056,244,6,4875,0,1047,3623,0,0
20,20,"4/19/21 16:10",1,7,0,1,1,-119.6556631,35.08355597,NA,NA,"AS07SE11","S","S","N",1,"S07","S07SN1","S07SE1","S07","SN","4/19/21 16:10",16,10,16.16666667,"Spring",NA,NA,NA,NA,NA,NA,NA,0,0,"S711","JTMR011D",1942,0,0,729,0,0,18,38624,0,3488,0,0,287,0,0,2278,3,0,0,0,8,0,375,1597,0,0,68,0,0,0,3115,134,16,2596,0,218,3909,0,0
21,21,"4/20/21 8:54",0,1,1,1,1,-119.7464592,35.13335429,NA,NA,"AC01PN11","C","P","N",1,"C01","C01PN1","C01PN1","C01","PN","4/20/21 8:54",8,54,8.9,"Spring",NA,NA,NA,NA,NA,NA,NA,0,0,"C111","JTMR010DD",820,0,0,6,0,0,0,19690,0,11939,0,0,0,0,0,2867,0,33,0,6757,124,0,41,5607,24,0,178,5,0,0,15740,98,0,617,0,1217,2679,0,27
22,22,"4/20/21 9:19",0,1,0,1,1,-119.7465261,35.13336847,NA,NA,"AC01SN11","C","S","N",1,"C01","C01SN1","C01SN1","C01","SN","4/20/21 9:19",9,19,9.316666667,"Spring",NA,NA,NA,NA,NA,NA,NA,0,0,"C111","JTMR011AE",844,0,0,523,0,0,0,48036,0,2424,0,0,354,0,0,8567,0,75,0,0,8,0,660,2361,0,0,0,7,0,0,2070,0,0,313,0,35,1052,0,0
23,23,"4/20/21 9:36",0,1,1,0,1,-119.7465626,35.13333827,NA,NA,"AC01PE11","C","P","E",1,"C01","C01PE1","C01PE1","C01","PE","4/20/21 9:36",9,36,9.6,"Spring",NA,NA,NA,NA,NA,NA,NA,0,0,"C101","JTMR010CF",94,0,0,2567,0,0,736,52676,0,2073,0,0,11,0,0,408,0,9,0,100,6,0,14,129,0,0,31,0,0,0,5637,33,0,2965,0,75,2681,0,4
24,24,"4/20/21 11:58",0,5,1,1,1,-119.7390416,35.12009123,NA,NA,"AC05PN11","C","P","N",1,"C05","C05PN1","C05PN1","C05","PN","4/20/21 11:58",11,58,11.96666667,"Spring",NA,NA,NA,32.34,32.51,32.39,32.41,4,1,"C511","JTMR010R",290,0,0,0,0,289,9,30356,0,7250,185,3,88,0,0,2915,19,31,0,198,114,0,252,4519,0,0,216,26,0,0,12548,2046,0,754,0,1950,1761,0,0
25,25,"4/20/21 12:07",0,5,0,1,1,-119.7390459,35.12011426,NA,NA,"AC05SN11","C","S","N",1,"C05","C05SN1","C05SN1","C05","SN","4/20/21 12:07",12,7,12.11666667,"Spring",NA,NA,NA,NA,NA,NA,NA,0,0,"C511","JTMR010BS",556,0,0,0,6,0,0,17474,69,5060,0,0,871,0,0,796,16,148,78,264,9,37,1047,2988,0,0,75,45,0,0,3256,179,0,452,0,188,2101,0,0
26,26,"4/20/21 12:18",0,5,1,0,1,-119.7388057,35.11962447,NA,NA,"AC05PE11","C","P","E",1,"C05","C05PE1","C05PE1","C05","PE","4/20/21 12:18",12,18,12.3,"Spring",NA,NA,NA,NA,NA,NA,NA,0,0,"C501","JTMR010DP",948,0,0,1678,0,25,7,30561,0,3455,25,0,12,0,0,2725,0,7,0,236,7,0,44,2188,0,0,41,33,0,0,9868,25,0,942,0,289,5274,19,0
27,27,"4/20/21 12:30",0,5,0,0,1,-119.7387258,35.11962593,NA,NA,"AC05SE11","C","S","E",1,"C05","C05SE1","C05SE1","C05","SE","4/20/21 12:30",12,30,12.5,"Spring",NA,NA,NA,NA,NA,NA,NA,0,0,"C501","JTMR010CM",3214,0,0,1258,0,9,11,45465,0,1824,2,0,374,13,0,904,0,11,9,289,0,10,1211,1041,0,0,8,19,0,0,7534,41,0,847,0,94,2252,0,0
29,29,"4/20/21 15:06",0,8,1,0,1,-119.7303208,35.11330633,NA,NA,"AC08PE11","C","P","E",1,"C08","C08PE1","C08PE1","C08","PE","4/20/21 15:06",15,6,15.1,"Spring",NA,NA,NA,NA,NA,NA,NA,0,0,"C801","JTMR011CJ",2243,0,0,123,0,0,0,46569,0,1103,0,0,0,0,0,555,0,28,0,0,18,0,51,2149,0,0,38,0,0,0,14916,46,0,914,0,41,1400,0,0
30,30,"4/20/21 15:12",0,8,0,0,1,-119.7303044,35.11333615,NA,NA,"AC08SE11","C","S","E",1,"C08","C08SE1","C08SE1","C08","SE","4/20/21 15:12",15,12,15.2,"Spring",NA,NA,NA,NA,NA,NA,NA,0,0,"C801","JTMR010BL",792,0,0,170,0,83,54,31943,0,4690,0,17,198,0,0,342,0,0,6,155,37,37,978,808,0,0,22,14,0,0,8531,227,0,1445,0,186,3441,0,0
31,31,"4/20/21 16:02",0,7,0,1,1,-119.7328044,35.10881524,NA,NA,"AC07SN11","C","S","N",1,"C07","C07SN1","C07SN1","C07","SN","4/20/21 16:02",16,2,16.03333333,"Spring",NA,NA,NA,NA,NA,NA,NA,0,0,"C711","JTMR011DL",2597,0,0,70,0,8,7,32602,0,7254,0,13,838,0,0,2941,0,0,0,0,233,0,5227,5458,0,0,109,0,0,0,4166,40,0,1059,0,212,4980,0,0
32,32,"4/20/21 16:26",0,7,1,0,1,-119.7322054,35.10828516,NA,NA,"AC07PE11","C","P","E",1,"C07","C07PE1","C07PE1","C07","PE","4/20/21 16:26",16,26,16.43333333,"Spring",NA,NA,NA,NA,NA,NA,NA,0,0,"C701","JTMR011EW",514,0,0,86,0,0,0,32724,0,3541,0,0,194,0,0,538,0,26,0,0,85,0,208,641,0,0,210,0,70,0,11590,31,0,299,0,184,313,0,31
34,34,"4/20/21 9:33",0,1,0,0,1,-119.7461097,35.13267475,NA,NA,"AC01SE11","C","S","E",1,"C01","C01SE1","C01SE1","C01","SE","4/20/21 9:33",9,33,9.55,"Spring",NA,NA,NA,NA,NA,NA,NA,0,0,"C101","JTMR011DX",21602,0,0,293,0,0,0,25366,0,2634,0,0,46,0,0,764,0,28,0,0,0,0,432,881,0,0,13,0,0,0,8442,0,0,341,0,8,982,0,0
37,37,"4/20/21 13:35",0,6,0,1,1,-119.7484989,35.11545547,NA,NA,"AC06SN11","C","S","N",1,"C06","C06SN1","C06SN1","C06","SN","4/20/21 13:35",13,35,13.58333333,"Spring",NA,NA,NA,NA,NA,NA,NA,0,0,"C611","JTMR011CA",1219,0,0,97,0,0,0,28500,0,4151,0,0,132,0,0,591,0,22,0,0,52,0,1246,4894,0,0,47,6,0,0,11686,141,0,323,0,250,1493,0,0
38,38,"4/20/21 13:40",0,6,1,1,1,-119.7481216,35.08300489,NA,NA,"AC06PN11","C","P","N",1,"C06","C06PN1","C06PN1","C06","PN","4/20/21 13:40",13,40,13.66666667,"Spring",NA,NA,NA,NA,NA,NA,NA,0,0,"C611","JTMR010AN",6387,0,0,246,0,0,0,40204,0,867,0,0,0,0,0,2783,0,34,0,635,21,3,41,9072,0,0,379,28,0,0,6700,179,0,2157,0,2132,6486,0,0
39,39,"4/20/21 13:55",0,6,0,0,1,-119.7480654,35.11496663,NA,NA,"AC06SE11","C","S","E",1,"C06","C06SE1","C06SE1","C06","SE","4/20/21 13:55",13,55,13.91666667,"Spring",NA,NA,NA,NA,NA,NA,NA,0,0,"C601","JTMR011I",150,0,0,0,0,0,0,38386,0,7292,0,0,34,0,0,1204,0,19,0,0,137,0,155,4643,0,28,121,44,0,0,18576,37,0,1070,0,46,1434,0,0
40,40,"4/20/21 14:46",0,8,1,1,1,-119.7311212,35.11667308,NA,NA,"AC08PN11","C","P","N",1,"C08","C08PN1","C08PN1","C08","PN","4/20/21 14:46",14,46,14.76666667,"Spring",NA,NA,NA,NA,NA,NA,NA,0,0,"C811","JTMR010E",384,0,0,29,0,222,3,33512,0,18268,110,3,3,0,0,3547,0,30,0,1499,622,42,86,8155,0,9,420,50,0,0,14779,642,0,2838,0,582,2379,3,0
41,41,"4/21/21 8:25",1,6,1,1,1,-119.6600529,35.08097156,NA,NA,"AS06PN11","S","P","N",1,"S06","S06PN1","S06PN1","S06","PN","4/21/21 8:25",8,25,8.416666667,"Spring",NA,NA,NA,NA,NA,NA,NA,0,0,"S611","JTMR010AK",1894,0,0,17,0,189,0,31510,12,3368,4,11,88,0,0,1477,0,0,6,353,65,12,85,10662,13,0,61,25,0,0,6583,411,0,2772,0,2586,2731,0,0
42,42,"4/21/21 8:36",1,6,0,1,1,-119.6600839,35.08096151,NA,NA,"AS06SN11","S","S","N",1,"S06","S06SN1","S06SN1","S06","SN","4/21/21 8:36",8,36,8.6,"Spring",NA,NA,NA,NA,NA,NA,NA,0,0,"S611","JTMR010AH",18538,0,0,177,0,0,0,25390,0,6523,0,0,229,0,0,8093,0,3,9,385,0,6,37,1527,0,0,38,22,0,0,6758,141,0,416,0,117,1075,0,0
44,44,"4/21/21 8:57",1,6,1,0,1,-119.6595725,35.0814153,NA,NA,"AS06PE11","S","P","E",1,"S06","S06PE1","S06PE1","S06","PE","4/21/21 8:57",8,57,8.95,"Spring",NA,NA,NA,33.31,33.86,34.48,34.23,4,1,"S601","JTMR010BX",861,0,0,0,0,0,0,15172,0,13764,0,7,0,0,0,1832,0,4,0,385,87,0,14,1902,0,0,195,17,0,0,7825,111,0,917,0,205,1069,0,0
45,45,"4/21/21 9:06",1,6,0,0,1,-119.659586,35.08134149,NA,NA,"AS06SE11","S","S","E",1,"S06","S06SE1","S06SE1","S06","SE","4/21/21 9:06",9,6,9.1,"Spring",NA,NA,NA,NA,NA,NA,NA,0,0,"S601","JTMR010DE",449,0,0,152,0,0,3,40709,0,9065,0,0,311,0,0,14833,0,0,12,841,0,0,75,2872,0,0,0,0,0,0,2731,58,0,357,0,110,1452,0,0
46,46,"4/21/21 10:04",0,2,1,1,1,-119.7284223,35.1303838,NA,NA,"AC02SN11","C","P","N",1,"C02","C02PN1","C02SN1","C02","PN","4/21/21 10:04",10,4,10.06666667,"Spring",NA,NA,NA,NA,NA,NA,NA,0,0,"C211","JTMR010AO",1248,0,9,217,0,17,12,17059,0,7633,0,0,494,0,6,3030,0,71,8,777,99,19,777,3652,0,0,80,49,0,0,9659,423,0,764,0,233,2942,0,0
47,47,"4/21/21 10:21",0,2,0,1,1,-119.72299,35.13051497,NA,NA,"AC02PN11","C","S","N",1,"C02","C02SN1","C02PN1","C02","SN","4/21/21 10:21",10,21,10.35,"Spring",NA,NA,NA,NA,NA,NA,NA,0,0,"C211","JTMR010EN",4489,0,0,11,0,12,0,41627,0,3924,0,0,0,0,0,4560,0,10,0,351,42,16,95,6349,0,0,297,20,0,0,22964,525,0,1776,0,781,4500,0,7
48,48,"4/21/21 10:41",0,2,0,0,1,-119.7226716,35.13090319,NA,NA,"AC02SE11","C","S","E",1,"C02","C02SE1","C02SE1","C02","SE","4/21/21 10:41",10,41,10.68333333,"Spring",NA,NA,NA,NA,NA,NA,NA,0,0,"C201","JTMR011BN",969,0,0,148,0,0,5,29166,0,5925,0,0,714,0,0,569,0,18,0,0,0,0,1342,1547,0,0,26,0,0,0,9220,9,0,292,0,27,2640,0,0
50,50,"4/21/21 11:54",0,4,1,0,1,-119.7249263,35.12218561,NA,NA,"AC04PE11","C","P","E",1,"C04","C04PE1","C04PE1","C04","PE","4/21/21 11:54",11,54,11.9,"Spring",NA,NA,NA,NA,NA,NA,NA,0,0,"C401","JTMR011EZ",1045,76,0,2571,0,0,31,33764,0,5344,0,0,36,0,4,912,0,5,0,0,62,0,588,626,0,0,16,0,0,0,14834,24,0,621,0,141,1138,0,24
51,51,"4/21/21 12:14",0,4,0,0,1,-119.724714,35.1218074,NA,NA,"AC04SE11","C","S","E",1,"C04","C04SE1","C04SE1","C04","SE","4/21/21 12:14",12,14,12.23333333,"Spring",NA,NA,NA,NA,NA,NA,NA,0,0,"C401","JTMR011BX",583,0,20,640,0,0,0,22343,0,2807,0,0,672,0,0,2180,0,9,0,0,4,0,1937,1287,0,18,0,0,0,0,6284,6,0,252,0,18,760,0,0
53,53,"4/21/21 13:45",0,10,1,0,1,-119.701476,35.11423216,NA,NA,"AC10PE11","C","P","E",1,"C10","C10PE1","C10PE1","C10","PE","4/21/21 13:45",13,45,13.75,"Spring",NA,NA,NA,NA,NA,NA,NA,0,0,"C1001","JTMR010EE",2710,0,0,0,0,0,0,40044,0,3247,0,4,18,0,0,507,0,7,13,95,34,0,21,5410,25,0,10,29,0,0,2480,77,0,1153,0,123,859,0,0
54,54,"4/21/21 13:54",0,10,0,0,1,-119.7014153,35.11426241,NA,NA,"AC10SE11","C","S","E",1,"C10","C10SE1","C10SE1","C10","SE","4/21/21 13:54",13,54,13.9,"Spring",NA,NA,NA,NA,NA,NA,NA,0,0,"C1001","JTMR010EI",5385,0,0,16,0,0,0,27913,0,5213,0,0,19,0,0,376,0,5,12,123,5,10,110,2038,23,0,0,19,0,0,2166,93,0,464,0,90,927,0,0
58,58,"4/21/21 16:54",1,1,1,0,1,-119.6693035,35.08245118,NA,NA,"AS01PE11","S","P","E",1,"S01","S01PE1","S01PE1","S01","PE","4/21/21 16:54",16,54,16.9,"Spring",NA,NA,NA,NA,NA,NA,NA,0,0,"S101","JTMR011CM",77,0,0,188,0,0,0,36103,0,12511,0,0,0,0,4,1991,0,0,0,0,142,0,89,1072,27,0,259,0,0,0,5997,0,0,2862,0,297,5278,0,16
59,59,"4/21/21 17:06",1,1,0,0,1,-119.6692839,35.08246879,NA,NA,"AS01SE11","S","S","E",1,"S01","S01SE1","S01SE1","S01","SE","4/21/21 17:06",17,6,17.1,"Spring",NA,NA,NA,NA,NA,NA,NA,0,0,"S101","JTMR010CA",2554,0,0,1200,0,20,21,29709,0,712,0,0,273,0,0,7311,0,7,6,50,55,0,252,972,0,0,3,19,0,0,4188,52,0,1446,0,40,5189,0,0
60,60,"4/22/21 8:26",1,5,1,1,1,-119.6803809,35.08381932,NA,NA,"AS05PN11","S","P","N",1,"S05","S05PN1","S05PN1","S05","PN","4/22/21 8:26",8,26,8.433333333,"Spring",NA,NA,NA,34.85,34.89,34.2,33.88,4,1,"S511","JTMR011AZ",195,0,0,0,0,0,0,19229,0,13649,0,0,2,0,0,8083,0,5,0,0,180,0,7,3297,7,0,12,0,0,0,10228,139,0,297,0,106,2270,0,0
61,61,"4/22/21 8:49",1,5,0,1,1,-119.6802974,35.08218187,NA,NA,"AS05SN11","S","S","N",1,"S05","S05SN1","S05SN1","S05","SN","4/22/21 8:49",8,49,8.816666667,"Spring",NA,NA,NA,NA,NA,NA,NA,0,0,"S511","JTMR011V",324,0,0,244,0,0,0,37665,0,3106,0,0,106,0,0,4862,0,0,0,0,14,0,131,1230,0,0,0,0,0,0,7757,19,8,1146,0,26,5829,0,0
62,62,"4/22/21 9:05",1,5,0,0,1,-119.6807346,35.08221517,NA,NA,"AS05SE11","S","S","E",1,"S05","S05SE1","S05SE1","S05","SE","4/22/21 9:05",9,5,9.083333333,"Spring",NA,NA,NA,NA,NA,NA,NA,0,0,"S501","JTMR011AL",157,0,0,1633,0,0,0,23502,0,3661,0,0,300,0,0,179,0,0,0,0,12,0,265,935,0,0,0,0,0,0,24605,9,0,155,0,19,3105,0,0
64,64,"4/22/21 9:56",1,2,1,0,1,-119.6743708,35.08460265,NA,NA,"AS02PE11","S","P","E",1,"S02","S02PE1","S02PE1","S02","PE","4/22/21 9:56",9,56,9.933333333,"Spring",NA,NA,NA,34.66,35.11,35.56,34.8,4,1,"S201","JTMR010P",2591,0,0,0,0,132,0,30299,0,10752,0,40,0,0,0,1895,4,6,0,430,494,11,47,6841,9,0,630,29,0,2,11086,508,0,585,0,941,2348,0,0
65,65,"4/22/21 10:14",1,2,0,0,1,-119.6748002,35.08415087,NA,NA,"AS02SE11","S","S","E",1,"S02","S02SE1","S02SE1","S02","SE","4/22/21 10:14",10,14,10.23333333,"Spring",NA,NA,NA,NA,NA,NA,NA,0,0,"S201","JTMR010CW",2471,0,0,59,0,6,0,22955,0,19641,0,213,1579,0,0,11,0,28,35,1813,0,15,86,2887,0,0,0,51,0,0,4160,37,0,562,0,1104,3143,0,0
77,77,"4/20/21 13:47",0,6,1,0,1,-119.7475458,35.11453835,NA,NA,"AC06PE11","C","P","E",1,"C06","C06PE1","C06PE1","C06","PE","4/20/21 13:47",13,47,13.78333333,"Spring",NA,NA,NA,NA,NA,NA,NA,0,0,"C601","JTMR011DC",896,0,0,26,0,0,0,42896,0,3304,0,0,0,0,0,602,0,7,0,0,150,0,6,8580,0,0,83,25,0,0,7246,24,0,585,0,59,1425,0,4
78,78,"4/20/21 14:51",0,8,0,1,1,-119.729769,35.11306696,NA,NA,"AC08SN11","C","S","N",1,"C08","C08SN1","C08SN1","C08","SN","4/20/21 14:51",14,51,14.85,"Spring",NA,NA,NA,NA,NA,NA,NA,0,0,"C811","JTMR011AH",269,0,0,1291,0,0,0,45145,0,4306,0,0,1156,0,0,3802,0,35,0,0,137,0,720,2282,0,0,32,8,0,5,9333,10,9,718,0,98,1946,0,0
79,79,"4/20/21 15:55",0,7,1,1,1,-119.7328116,35.10880071,NA,NA,"AC07PN11","C","P","N",1,"C07","C07PN1","C07PN1","C07","PN","4/20/21 15:55",15,55,15.91666667,"Spring",NA,NA,NA,37.1,36.87,37.82,NA,3,1,"C711","JTMR010EZ",4867,0,0,0,0,0,3,27334,0,6695,0,0,6,0,0,2037,9,102,0,182,34,0,165,3083,10,0,16,25,0,0,14683,222,0,310,0,285,1439,0,0
81,81,"4/20/21 16:36",0,7,0,0,1,-119.7322485,35.10831569,NA,NA,"AC07SE11","C","S","E",1,"C07","C07SE1","C07SE1","C07","SE","4/20/21 16:36",16,36,16.6,"Spring",NA,NA,NA,NA,NA,NA,NA,0,0,"C701","JTMR010BK",5096,4,0,1002,0,20,6,24659,0,2681,15,0,142,0,0,1280,0,7,7,234,22,22,626,406,0,0,41,23,0,0,19285,111,0,749,0,231,1936,0,0
83,83,"4/21/21 10:26",0,2,1,0,1,-119.7226224,35.13081797,NA,NA,"AC02PE11","C","P","E",1,"C02","C02PE1","C02PE1","C02","PE","4/21/21 10:26",10,26,10.43333333,"Spring",NA,NA,NA,NA,NA,NA,NA,0,0,"C201","JTMR011DK",1167,0,0,473,0,0,25,41457,0,1536,0,0,0,0,0,873,0,13,0,0,2260,0,82,1082,0,0,319,0,0,113,26067,41,0,445,0,571,725,0,0
84,84,"4/21/21 11:22",0,4,1,1,1,-119.7242392,35.12222962,NA,NA,"AC04PN11","C","P","N",1,"C04","C04PN1","C04PN1","C04","PN","4/21/21 11:22",11,22,11.36666667,"Spring",NA,NA,NA,NA,NA,NA,NA,0,0,"C411","JTMR010AZ",4234,0,0,39,0,96,3,34849,0,1297,15,0,7,0,0,1177,0,13,9,52,0,4,99,5745,0,0,66,16,0,0,8816,366,0,2580,0,433,1275,0,0
